School_Name,ODE_Institution_ID,Charter,Site_Address_Line1,Site_City,Site_State,Site_Zipcode,District_Name,District_Institution_ID,County_Name,County_FIPS_Code,Longitude,Latitude,Total_Enrollment,Total_AmIndian,Percent_AmIndian,Total_Asian,Percent_Asian,Total_HawaiiPI,Percent_HawaiiPI,Total_Black,Percent_Black,Total_Latino,Percent_Latino,Total_White,Percent_White,Total_MultiRacial,Percent_MultiRacial,Total_Blk_Latino,Perc_Blk_Lat,Seg,pop_proport,Seg_proport,SCI
Aloha-Huber Park School,1153,NonCharter,5000 SW 173rd St,Beaverton,OR,97078,Beaverton SD 48J,2243,WASHINGTON,67,-122.8538306,45.4837097,887.00,4.00,0.00,64.00,0.07,8.00,0.01,56.00,0.06,525.00,0.59,193.00,0.22,37.00,0.04171,581.00,0.66,0.042,1.850625916,0.103741167,0.191986091
Arco Iris Spanish Immersion School,4805,Charter,13600 SW Allen Blvd,Beaverton,OR,97005,Beaverton SD 48J,2243,WASHINGTON,67,-122.8185452,45.47608945,393.00,3.00,0.01,9.00,0.02,0.00,0.00,5.00,0.01,184.00,0.47,155.00,0.39,37.00,0.09415,189.00,0.48,0.009,0.819950378,0.023188885,0.019013735
Barnes Elementary School,1154,NonCharter,13730 SW Walker Rd,Beaverton,OR,97005,Beaverton SD 48J,2243,WASHINGTON,67,-122.8184932,45.50622363,478.00,0.00,0.00,11.00,0.02,5.00,0.01,18.00,0.04,320.00,0.67,105.00,0.22,19.00,0.03975,338.00,0.71,0.026,0.997293335,0.064194654,0.064020901
Beaver Acres Elementary School,1155,NonCharter,2125 SW 170th Ave,Beaverton,OR,97003,Beaverton SD 48J,2243,WASHINGTON,67,-122.8528089,45.50446535,755.00,2.00,0.00,107.00,0.14,18.00,0.02,51.00,0.07,274.00,0.36,240.00,0.32,63.00,0.08344,325.00,0.43,0.013,1.575222736,0.031869159,0.050201023
Bethany Elementary School,1156,NonCharter,3305 NW 174th Ave,Beaverton,OR,97006,Beaverton SD 48J,2243,WASHINGTON,67,-122.8579953,45.54316227,429.00,0.00,0.00,96.00,0.22,3.00,0.01,8.00,0.02,55.00,0.13,222.00,0.52,45.00,0.1049,63.00,0.15,0.009,0.895060336,0.022391196,0.020041472
Bonny Slope Elementary School,4671,NonCharter,11775 NW McDaniel Rd,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.7977247,45.5394707,686.00,2.00,0.00,205.00,0.30,1.00,0.00,7.00,0.01,63.00,0.09,333.00,0.49,75.00,0.10933,70.00,0.10,0.018,1.431261983,0.046037807,0.065892163
Cedar Mill Elementary School,1158,NonCharter,10265 NW Cornell Rd,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.7827052,45.526914,356.00,0.00,0.00,66.00,0.19,1.00,0.00,7.00,0.02,45.00,0.13,199.00,0.56,38.00,0.10674,52.00,0.15,0.007,0.742754032,0.018674149,0.0138703
Chehalem Elementary School,1159,NonCharter,15555 SW Davis Rd,Beaverton,OR,97007,Beaverton SD 48J,2243,WASHINGTON,67,-122.8370645,45.47593329,383.00,1.00,0.00,17.00,0.04,5.00,0.01,8.00,0.02,140.00,0.37,173.00,0.45,39.00,0.10183,148.00,0.39,0.004,0.799086501,0.010552077,0.008432022
Cooper Mountain Elementary School,1160,NonCharter,7670 SW 170th Ave,Beaverton,OR,97007,Beaverton SD 48J,2243,WASHINGTON,67,-122.8507345,45.46454222,413.00,4.00,0.01,60.00,0.15,3.00,0.01,8.00,0.02,39.00,0.09,255.00,0.62,44.00,0.10654,47.00,0.11,0.010,0.861678132,0.026099853,0.022489673
Elmonica Elementary School,1162,NonCharter,16950 SW Lisa Ct,Beaverton,OR,97006,Beaverton SD 48J,2243,WASHINGTON,67,-122.8515109,45.5156764,413.00,2.00,0.00,132.00,0.32,3.00,0.01,10.00,0.02,145.00,0.35,95.00,0.23,26.00,0.06295,155.00,0.38,0.004,0.861678132,0.009849853,0.008487403
